STATE,EVENT_CATEGORY,COUNT
alabama,Flood,86.25
alabama,Heat,93.15
alabama,Hurricane,9.6
alabama,Storm,276.4
alabama,Tide,1.2
alabama,Tornado,61.1
alabama,Wind,379.4
alabama,Winter Weather,40.125
alaska,Flood,16.35
alaska,Heat,5.38461538462
alaska,Storm,79.6
alaska,Tide,1.7
alaska,Tornado,1.5
alaska,Wind,139.7
alaska,Winter Weather,41.95
american samoa,Flood,6.0625
american samoa,Heat,13.0
american samoa,Hurricane,1.66666666667
american samoa,Storm,4.0
american samoa,Tide,4.93333333333
american samoa,Tornado,1.0
american samoa,Wind,2.36363636364
arizona,Flood,67.2
arizona,Heat,21.5
arizona,Storm,70.35
arizona,Tornado,9.3
arizona,Wind,108.4
arizona,Winter Weather,24.15
arkansas,Flood,133.9
arkansas,Heat,110.764705882
arkansas,Hurricane,3.0
arkansas,Storm,371.8
arkansas,Tornado,49.3
arkansas,Wind,359.55
arkansas,Winter Weather,83.8333333333
california,Flood,113.8
california,Heat,86.5
california,Storm,150.45
california,Tide,12.55
california,Tornado,22.65
california,Wind,205.2
california,Winter Weather,125.6
colorado,Flood,55.8
colorado,Heat,110.666666667
colorado,Storm,547.3
colorado,Tornado,44.15
colorado,Wind,171.5
colorado,Winter Weather,237.3
connecticut,Flood,24.55
connecticut,Heat,7.83333333333
connecticut,Storm,39.3
connecticut,Tornado,2.6
connecticut,Wind,64.6
connecticut,Winter Weather,27.85
delaware,Flood,15.55
delaware,Heat,20.65
delaware,Hurricane,1.0
delaware,Storm,22.0
delaware,Tide,4.64285714286
delaware,Tornado,1.93333333333
delaware,Wind,45.8
delaware,Winter Weather,17.2
district of columbia,Flood,4.61111111111
district of columbia,Heat,3.53846153846
district of columbia,Storm,3.38888888889
district of columbia,Tornado,2.0
district of columbia,Wind,7.3
district of columbia,Winter Weather,3.05263157895
florida,Flood,83.05
florida,Heat,46.2777777778
florida,Hurricane,33.4285714286
florida,Storm,305.15
florida,Tide,8.5
florida,Tornado,108.6
florida,Wind,304.7
florida,Winter Weather,39.4444444444
georgia,Flood,76.4
georgia,Heat,190.25
georgia,Hurricane,56.25
georgia,Storm,429.35
georgia,Tide,2.28571428571
georgia,Tornado,37.6
georgia,Wind,522.55
georgia,Winter Weather,66.7368421053
hawaii,Flood,24.9
hawaii,Heat,41.2631578947
hawaii,Storm,61.3333333333
hawaii,Tide,251.55
hawaii,Tornado,4.70588235294
hawaii,Wind,20.1
hawaii,Winter Weather,2.25
idaho,Flood,20.6
idaho,Heat,11.9444444444
idaho,Storm,53.95
idaho,Tornado,6.0
idaho,Wind,56.0
idaho,Winter Weather,92.8
illinois,Flood,172.05
illinois,Heat,122.6
illinois,Storm,486.35
illinois,Tide,2.0
illinois,Tornado,60.8
illinois,Wind,511.2
illinois,Winter Weather,147.736842105
indiana,Flood,188.3
indiana,Heat,32.125
indiana,Storm,299.0
indiana,Tornado,27.4
indiana,Wind,373.1
indiana,Winter Weather,86.1
iowa,Flood,214.7
iowa,Heat,93.7692307692
iowa,Storm,669.25
iowa,Tornado,62.3
iowa,Wind,502.75
iowa,Winter Weather,141.6
kansas,Flood,121.35
